,adv_acc,adv_cov,adv_prec,adv_pred_time,adv_rec,attack_batch_size,attack_id,attack_iter,attack_name,attack_size,attack_threshold,attack_time,ben_acc,ben_cov,ben_pred_time,classifier_id,classifier_name,data_id,def_name,defense_id,id,n,train_time
358,0.07,,,27.62143927400029,,1024,2abd7381e6b60ff740f6453a12857ab2c5532164756b9894bfde2856cac60a0f,10,FGM-step_size:0.1-norm:inf,100,0.03,67.96251521699742,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,5bf7a2e109bbfe5f777d18da663b24ce43667476eba056c8e5559b56a8933d9d,50000,485.9433304739996
359,0.73,,,10.823009683997952,,1024,46b2856d7242b36c383649ff2c20148d34c92ed7b0e0d638314b70d0df933491,10,PGD-step_size:0.001-norm:1,100,0.03,295.519828788998,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,7553b81d11d67836adf6c6132c0de5481dbc3c9c23285dca9972d471753dbe31,50000,488.5682582119998
360,0.73,,,11.744560971001192,,1024,649396d2feb03d963ceb8534ce11b98115f25697a681247722f58360527c6cba,10,PGD-step_size:0.001-norm:2,100,0.03,287.8367361950004,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,5f6567507bf2063f7f3b9263f0c1491fcaa410bb9ac3f1fb7ec7b678d5b51bea,50000,488.5682582119998
361,0.73,,,11.815392391999922,,1024,06714fb59748e015a24d39aad6e982e483d120c82aaea0b951b665ef587b1189,10,PGD-step_size:0.001-norm:inf,100,0.03,287.46851883699856,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,19fae25db8c82366832ebe8d937b3543d52c354e85a17cb499c61ad73655763b,50000,488.5682582119998
362,0.73,,,10.705468509997443,,1024,9d4905483d4d3bd8f8ae621371f50a00e83984c043f362275421af53bd05422e,10,PGD-step_size:0.01-norm:1,100,0.03,287.83694903700234,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,c4c9915b9160bcd7c6b95c36519d87e4456438c5d2294db1a576bd22255f0135,50000,488.5682582119998
363,0.73,,,10.775337835002574,,1024,e3d08ebbdcec8e894f97428ead7f94439039c4faf6aae13054a41a38e63e07f6,10,PGD-step_size:0.01-norm:2,100,0.03,283.9545548649985,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,cc29b39ecd9b8233a08ac8dc942fb437825eb6ba32c6121a9a2d0c6d97ffc446,50000,488.5682582119998
364,0.73,,,10.736858239997671,,1024,72b19fa1e08cee0bea826a9f7176e624a6685c4c4ba595eb96e8bec84b322be7,10,PGD-step_size:0.01-norm:inf,100,0.03,284.5889938520013,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,f37abdf1c47f0a41cce3f82bd602800c74856030fa55656521ba13d6d0fc8168,50000,488.5682582119998
365,0.73,,,10.60400986500099,,1024,1e19bb8ff210ddf9f77e4181e71908cd8517118eb10f5cbff4e747eec259c5e9,10,PGD-step_size:0.1-norm:1,100,0.03,279.9147310860026,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,94e27e97cb2afc69b2bd55f3b210bede1eb0050b84998426bcf9cc4c66be376b,50000,488.5682582119998
366,0.73,,,10.924806674000138,,1024,f27078f4cdfc98be42f24d0a37e69d51b540fdb49adece948deb0e76918013cc,10,PGD-step_size:0.1-norm:2,100,0.03,283.4647283869999,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,6cd6039a8479b2b4b0c5fc0c1712d418197831d8fadadb373a3b767402cb066c,50000,488.5682582119998
367,0.73,,,10.638892263999878,,1024,c3563d3945809881a6358c27f9d18177b164741451299513711054800cb88ff5,10,PGD-step_size:0.1-norm:inf,100,0.03,284.8253496960024,0.9493,,1098.1102571039992,658b5995ecf4da3f84d5005252d80d2da399a5f2c89863925773729e9fddd271,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,Label-sigma:0.99,97e6ac5d6d18cbce0fff3077b8868e59354fc02340446f62cb02839d43b573bc,0d1fab7300d66499b7566ad7b14b6933999fa625082410649b12a0e3f84cfd5b,50000,488.5682582119998
